uniform_1 uniform_2 uniform_10 uniform_100 exp_1 exp_2 exp_10 exp_100 CL_1 CL_2 CL_10 CL_100
0.264464 0.559578 0.472117 0.451011 1.9358 0.574123 0.909115 0.817723 -48.1131 -0.684366 1.60807 1.22662
0.534136 0.17103 0.591528 0.465472 1.80655 0.46835 1.22731 0.970164 0.918428 -6.53377 -0.244419 0.204534
0.304792 0.569385 0.528416 0.497813 0.689101 0.900003 0.946352 1.07667 0.530074 -1.87947 0.244639 1.84061
0.896646 0.12758 0.48988 0.519242 2.15043 1.12316 1.41741 1.11592 -1.50693 0.861622 1.06714 1.96738
0.769676 0.32641 0.45687 0.495323 1.27749 1.15763 1.01941 0.955835 -1.87164 1.01372 -2.36647 18.0657
0.731583 0.665976 0.492347 0.480936 0.31106 0.631279 0.79903 0.978601 -3.93983 -9.76869 0.192109 -0.133973
0.381963 0.398074 0.299718 0.485621 0.818087 1.87142 1.59806 0.995564 -0.586535 5.64032 0.564426 0.458276
0.761421 0.979415 0.353166 0.498105 0.0833582 0.859281 0.862353 1.05371 47.7824 -15.556 0.742809 -1.89727
0.119384 0.44058 0.451392 0.527233 0.0770828 1.27486 0.891014 0.785482 6.19833 -0.14994 -0.701949 0.513365
0.787018 0.269974 0.374753 0.497862 0.0164145 1.68015 1.0724 0.931434 0.508096 0.852191 1.30562 -0.643781
0.838311 0.352611 0.525074 0.464862 0.629348 1.22878 0.747671 1.06966 -0.585295 -2.31692 -1.00625 1.97335
0.833507 0.456338 0.544863 0.462961 0.116429 0.624182 0.697127 1.01413 -0.940941 -0.371006 9.32115 -0.890164
0.309439 0.215843 0.275322 0.506594 0.394619 1.73832 1.24365 0.946047 2.5011 1.18584 -0.745333 1.39897
0.629472 0.655318 0.52351 0.479448 0.339589 1.25811 0.513239 1.31096 2.44205 -0.421711 -5.31504 1.61009
0.569876 0.552199 0.572305 0.480353 0.223514 1.44237 1.68436 1.06258 -14.3707 0.207658 0.513466 0.793661
0.884496 0.360035 0.468176 0.516065 0.754354 0.269967 0.938431 1.02112 1.00419 0.210672 -3.10217 0.13324
0.772969 0.423777 0.531846 0.457723 1.02907 1.17877 0.475761 0.958879 -3.33766 -0.613094 -0.0453065 -3.46276
0.727285 0.391394 0.552437 0.477545 0.682167 1.59045 0.699719 0.995471 -1.35348 3.50991 -10.5693 -2.48887
0.0586439 0.141922 0.357379 0.485847 0.0615821 0.50517 0.918436 1.0196 -0.0789904 -0.400498 -0.304531 -1.97772
0.93099 0.730599 0.461479 0.480252 2.83079 1.04152 1.84091 1.08936 -2.43098 -1.27377 -15.1932 -0.616947
0.161739 0.163928 0.479429 0.495009 0.0262686 0.61244 1.34161 1.12848 -0.267423 17.033 9.1502 0.243636
0.821174 0.42768 0.373365 0.484886 0.613232 0.176094 1.10682 0.954495 -12.0151 -2.56947 0.971201 -0.0765268
0.091981 0.831402 0.448123 0.483357 0.813764 0.489295 1.34263 0.982418 2.36873 -1.49437 -17.5449 -0.285818
0.243824 0.655223 0.701981 0.488269 0.336961 0.626673 0.795416 1.01188 -1.44043 -1.11409 6.56885 -4.04878
0.988548 0.6628 0.712305 0.427332 1.75863 0.18 1.1062 0.875781 -0.286513 0.00989566 2.08902 2.72007
0.955813 0.0639161 0.579564 0.501405 0.473004 0.491659 0.912214 1.15199 -0.278875 -0.349474 -0.815594 -0.812734
0.673691 0.599478 0.314417 0.522359 1.73578 0.116592 0.758555 0.912285 -2.47049 0.977161 -0.350724 -0.0468236
0.707564 0.121129 0.598469 0.533197 1.53829 1.2074 0.645071 0.865126 1.71132 -0.204465 11.3094 0.0687011
0.620856 0.516934 0.453358 0.481367 2.08239 0.542819 1.18507 1.08108 -0.530241 -0.997756 -1.36582 -1.17602
0.326099 0.830302 0.515799 0.482387 0.514767 0.663292 1.08956 0.978864 0.875971 0.726845 0.976996 4.91249
