# VELOCITY:     AVE_POFV:        ERROR:
   0.0874007    0.016871           0
    0.262202    0.124268           0
    0.437004    0.294302           0
    0.611805    0.526921           0
    0.786607    0.629391           0
    0.961408    0.763538           0
     1.13621    0.724234           0
     1.31101    0.692717           0
     1.48581    0.565403           0
     1.66061     0.46325           0
     1.83542    0.354503           0
     2.01022     0.23426           0
     2.18502    0.134147           0
     2.35982    0.084249           0
     2.53462   0.0527053           0
     2.70942   0.0299016           0
     2.88422   0.0144344           0
     3.05903  0.00746879           0
     3.23383  0.00288687           0
     3.40863 0.000715097           0
     3.58343  0.00121831           0
     3.75823  0.00182747           0
     3.93303 7.94552e-05           0
     4.10783 0.000132425           0
     4.28264 0.000132425           0
     4.45744 0.000185396           0
     4.63224 0.000370791           0
     4.80704 0.000662127           0
     4.98184           0           0
     5.15664           0           0
