# VELOCITY:     AVE_POFV:        ERROR:
    0.117851  0.00487118           0
    0.353553   0.0531705           0
    0.589256    0.120837           0
    0.824958    0.342849           0
     1.06066    0.414443           0
     1.29636    0.377084           0
     1.53206    0.492284           0
     1.76777     0.47113           0
     2.00347    0.476001           0
     2.23917    0.447677           0
     2.47487    0.319337           0
     2.71058    0.266088           0
     2.94628    0.137041           0
     3.18198    0.115239           0
     3.41768    0.115612           0
     3.65339   0.0867188           0
     3.88909  0.00225881           0
     4.12479           0           0
     4.36049           0           0
     4.59619           0           0
      4.8319           0           0
      5.0676           0           0
      5.3033           0           0
       5.539           0           0
     5.77471           0           0
     6.01041           0           0
     6.24611           0           0
     6.48181           0           0
     6.71751           0           0
     6.95322           0           0
    0.117851   0.0142403    0.168645
    0.353553   0.0484466   0.0850296
    0.589256    0.117979    0.051442
    0.824958    0.343713   0.0155563
     1.06066    0.397816    0.299283
     1.29636    0.360958    0.290267
     1.53206    0.433938     1.05023
     1.76777    0.524094    0.953357
     2.00347    0.477543   0.0277539
     2.23917    0.462664    0.269761
     2.47487    0.346914    0.496389
     2.71058    0.264546   0.0277539
     2.94628    0.141009   0.0714178
     3.18198    0.130903    0.281959
     3.41768   0.0948702    0.373352
     3.65339   0.0744132    0.221501
     3.88909  0.00716928   0.0883883
     4.12479  0.00142403   0.0256326
     4.36049           0           0
     4.59619           0           0
      4.8319           0           0
      5.0676           0           0
      5.3033           0           0
       5.539           0           0
     5.77471           0           0
     6.01041           0           0
     6.24611           0           0
     6.48181           0           0
     6.71751           0           0
     6.95322           0           0
    0.117851   0.0113334    0.127637
    0.353553   0.0458244   0.0786366
    0.589256    0.116777   0.0424227
    0.824958     0.30382    0.829217
     1.06066    0.375395    0.506931
     1.29636    0.417435     1.18969
     1.53206    0.429548    0.706074
     1.76777    0.535476    0.678175
     2.00347    0.490333    0.266481
     2.23917    0.479713    0.397383
     2.47487    0.337873    0.380565
     2.71058    0.238891    0.533561
     2.94628    0.138835   0.0656359
     3.18198    0.129243    0.191112
     3.41768    0.100566    0.275624
     3.65339    0.073107    0.150142
     3.88909   0.0147707    0.168623
     4.12479  0.00369922   0.0502816
     4.36049           0           0
     4.59619           0           0
      4.8319           0           0
      5.0676           0           0
      5.3033           0           0
       5.539           0           0
     5.77471           0           0
     6.01041           0           0
     6.24611           0           0
     6.48181           0           0
     6.71751           0           0
     6.95322           0           0
    0.117851  0.00909418    0.107706
    0.353553   0.0505778    0.120246
    0.589256    0.116363   0.0331009
    0.824958    0.306737    0.625228
     1.06066     0.36825    0.411533
     1.29636     0.44229     1.04708
     1.53206    0.425045    0.538779
     1.76777    0.518913    0.626124
     2.00347     0.47823    0.333363
     2.23917    0.458726    0.550358
     2.47487    0.370062    0.764885
     2.71058    0.242218     0.40684
     2.94628    0.134488    0.107743
     3.18198    0.110338    0.440733
     3.41768    0.111453    0.316751
     3.65339   0.0699839    0.131987
     3.88909    0.025338    0.265075
     4.12479  0.00420336   0.0393148
     4.36049 0.000329001  0.00725296
     4.59619           0           0
      4.8319           0           0
      5.0676           0           0
      5.3033           0           0
       5.539           0           0
     5.77471           0           0
     6.01041           0           0
     6.24611           0           0
     6.48181           0           0
     6.71751           0           0
     6.95322           0           0
    0.117851  0.00877991   0.0864612
    0.353553   0.0501417   0.0967077
    0.589256    0.117156   0.0320445
    0.824958      0.2946    0.571439
     1.06066    0.364215    0.341807
     1.29636    0.454151    0.880121
     1.53206    0.437181    0.511985
     1.76777    0.529273    0.553661
     2.00347     0.47879    0.266995
     2.23917    0.446565    0.520105
     2.47487    0.375301    0.623424
     2.71058    0.235176    0.362827
     2.94628    0.145927    0.274349
     3.18198   0.0997531    0.427083
     3.41768    0.103041    0.317634
     3.65339   0.0692886     0.10677
     3.88909   0.0231224    0.217977
     4.12479  0.00814351   0.0950647
     4.36049   0.0020349   0.0392715
     4.59619           0           0
      4.8319           0           0
      5.0676           0           0
      5.3033           0           0
       5.539           0           0
     5.77471           0           0
     6.01041           0           0
     6.24611           0           0
     6.48181           0           0
     6.71751           0           0
     6.95322           0           0
    0.117851  0.00781746   0.0754424
    0.353553   0.0489115   0.0855102
    0.589256    0.120653   0.0855504
    0.824958    0.294906    0.476252
     1.06066    0.375343    0.384708
     1.29636    0.440419    0.799842
     1.53206    0.444063    0.455646
     1.76777    0.524506    0.474497
     2.00347    0.471202    0.283899
     2.23917    0.462189    0.565393
     2.47487    0.362428    0.599484
     2.71058    0.240845    0.329811
     2.94628    0.155455    0.318268
     3.18198    0.101728     0.35885
     3.41768    0.094127    0.336114
     3.65339    0.063836    0.154826
     3.88909   0.0233018    0.181696
     4.12479  0.00811536   0.0792233
     4.36049  0.00265492   0.0357576
     4.59619 0.000137493  0.00319505
      4.8319           0           0
      5.0676           0           0
      5.3033           0           0
       5.539           0           0
     5.77471           0           0
     6.01041           0           0
     6.24611           0           0
     6.48181           0           0
     6.71751           0           0
     6.95322           0           0
    0.117851  0.00677925   0.0691393
    0.353553   0.0454036    0.110485
    0.589256     0.11823   0.0929471
    0.824958     0.27828    0.565838
     1.06066    0.393519    0.540587
     1.29636    0.451866    0.736748
     1.53206    0.459507    0.533866
     1.76777    0.539918    0.545291
     2.00347    0.462268    0.321777
     2.23917    0.447784    0.591709
     2.47487    0.351805    0.571589
     2.71058    0.242496    0.285358
     2.94628    0.151475    0.288479
     3.18198    0.102904    0.308831
     3.41768   0.0917499    0.293495
     3.65339   0.0585411    0.182163
     3.88909   0.0279195    0.189995
     4.12479  0.00936636   0.0740299
     4.36049  0.00271058   0.0306774
     4.59619 0.000117851  0.00277746
      4.8319           0           0
      5.0676           0           0
      5.3033           0           0
       5.539           0           0
     5.77471           0           0
     6.01041           0           0
     6.24611           0           0
     6.48181           0           0
     6.71751           0           0
     6.95322           0           0
    0.117851  0.00595885   0.0635727
    0.353553   0.0403566    0.154234
    0.589256    0.117505   0.0831408
    0.824958    0.277203    0.495772
     1.06066    0.396817    0.479488
     1.29636    0.459249    0.668191
     1.53206    0.478886    0.656609
     1.76777    0.545444    0.494944
     2.00347    0.471353    0.355062
     2.23917    0.432499    0.632872
     2.47487    0.328834    0.741169
     2.71058    0.241853    0.250157
     2.94628    0.152409    0.253395
     3.18198    0.104492    0.272861
     3.41768   0.0957221    0.273672
     3.65339   0.0541575     0.19053
     3.88909   0.0285593    0.166942
     4.12479   0.0088683   0.0658529
     4.36049  0.00237175    0.028029
     4.59619  0.00010312  0.00245546
      4.8319           0           0
      5.0676           0           0
      5.3033           0           0
       5.539           0           0
     5.77471           0           0
     6.01041           0           0
     6.24611           0           0
     6.48181           0           0
     6.71751           0           0
     6.95322           0           0
    0.117851  0.00558483   0.0572176
    0.353553   0.0436289    0.157998
    0.589256    0.125025    0.195021
    0.824958    0.281673    0.453556
     1.06066     0.39634    0.426366
     1.29636     0.45889     0.59401
     1.53206     0.48374    0.595165
     1.76777    0.541465    0.450198
     2.00347    0.460235    0.413293
     2.23917    0.428587    0.570332
     2.47487    0.316891    0.718472
     2.71058    0.238304    0.238116
     2.94628    0.161242    0.309322
     3.18198    0.111913    0.300906
     3.41768   0.0966401     0.24426
     3.65339   0.0525922    0.173476
     3.88909   0.0279765    0.149051
     4.12479  0.00931242   0.0594984
     4.36049  0.00250979   0.0251339
     4.59619  9.1662e-05  0.00219989
      4.8319           0           0
      5.0676           0           0
      5.3033           0           0
       5.539           0           0
     5.77471           0           0
     6.01041           0           0
     6.24611           0           0
     6.48181           0           0
     6.71751           0           0
     6.95322           0           0
    0.117851  0.00614201   0.0532247
    0.353553   0.0420512    0.147214
    0.589256    0.126466    0.178937
    0.824958     0.27914    0.412757
     1.06066    0.394701    0.385765
     1.29636    0.464263    0.550126
     1.53206    0.489691    0.554596
     1.76777    0.539856    0.407036
     2.00347    0.464697    0.387257
     2.23917    0.427452     0.51403
     2.47487    0.304091    0.716706
     2.71058    0.239073    0.215108
     2.94628    0.164121    0.286942
     3.18198    0.110063    0.274474
     3.41768   0.0947445     0.22455
     3.65339   0.0514302     0.15863
     3.88909   0.0284257    0.134584
     4.12479   0.0100448   0.0563942
     4.36049  0.00524634   0.0698505
     4.59619 0.000496939   0.0099855
      4.8319 0.000170884  0.00412677
      5.0676 0.000273022  0.00659335
      5.3033           0           0
       5.539           0           0
     5.77471           0           0
     6.01041           0           0
     6.24611           0           0
     6.48181           0           0
     6.71751           0           0
     6.95322           0           0
    0.117851  0.00598898   0.0485284
    0.353553   0.0423211    0.133991
    0.589256     0.12371    0.175889
    0.824958    0.275948    0.383147
     1.06066    0.396424    0.353181
     1.29636    0.465549    0.501089
     1.53206    0.498241    0.545211
     1.76777    0.538126    0.372408
     2.00347     0.46078    0.364661
     2.23917    0.437103     0.52272
     2.47487    0.300003    0.659065
     2.71058     0.23529    0.216036
     2.94628    0.166159    0.265505
     3.18198    0.104579    0.282809
     3.41768   0.0926435    0.210409
     3.65339   0.0505403    0.145818
     3.88909   0.0274093    0.124811
     4.12479   0.0120351   0.0704401
     4.36049  0.00893526    0.109767
     4.59619 0.000451763  0.00914371
      4.8319 0.000155349  0.00377051
      5.0676 0.000248202  0.00602415
      5.3033           0           0
       5.539           0           0
     5.77471           0           0
     6.01041           0           0
     6.24611           0           0
     6.48181           0           0
     6.71751           0           0
     6.95322           0           0
    0.117851  0.00599404   0.0444846
    0.353553   0.0438684    0.128484
    0.589256    0.129049    0.207187
    0.824958    0.272513    0.361062
     1.06066    0.398823    0.328984
     1.29636    0.466393    0.459791
     1.53206    0.494588    0.507641
     1.76777    0.535018    0.349678
     2.00347    0.462608    0.337229
     2.23917    0.431086    0.501094
     2.47487    0.307961    0.634519
     2.71058    0.234691     0.19857
     2.94628    0.164587    0.246377
     3.18198    0.101946    0.267063
     3.41768   0.0926523    0.192875
     3.65339   0.0502406    0.133866
     3.88909   0.0266474    0.115907
     4.12479   0.0138213   0.0778749
     4.36049  0.00876518    0.100705
     4.59619 0.000782401   0.0116271
      4.8319 0.000378106  0.00643588
      5.0676 0.000227518   0.0055451
      5.3033           0           0
       5.539           0           0
     5.77471           0           0
     6.01041           0           0
     6.24611           0           0
     6.48181           0           0
     6.71751           0           0
     6.95322           0           0
    0.117851  0.00688371   0.0464715
    0.353553   0.0507077    0.205049
    0.589256    0.126936    0.198105
    0.824958    0.267712    0.353361
     1.06066    0.411083    0.426762
     1.29636    0.463028    0.432326
     1.53206    0.493707    0.469088
     1.76777    0.532392    0.329105
     2.00347    0.456043    0.350259
     2.23917    0.429088    0.465122
     2.47487    0.313371    0.600465
     2.71058    0.231978    0.194935
     2.94628    0.163588    0.228735
     3.18198   0.0999408    0.251351
     3.41768   0.0946481    0.184608
     3.65339   0.0503542      0.1236
     3.88909   0.0271692    0.107749
     4.12479   0.0145138   0.0738528
     4.36049  0.00821483   0.0939277
     4.59619 0.000722216   0.0108332
      4.8319 0.000349021  0.00598325
      5.0676 0.000210017  0.00513642
      5.3033           0           0
       5.539           0           0
     5.77471           0           0
     6.01041           0           0
     6.24611           0           0
     6.48181           0           0
     6.71751           0           0
     6.95322           0           0
    0.117851  0.00705704    0.043361
    0.353553   0.0535044    0.202385
    0.589256    0.127899    0.185465
    0.824958    0.271166    0.338878
     1.06066    0.409861    0.397411
     1.29636    0.459396    0.411211
     1.53206    0.508286    0.563585
     1.76777    0.528844     0.31775
     2.00347    0.448384    0.375602
     2.23917     0.41918    0.495596
     2.47487    0.315497     0.56001
     2.71058    0.233126     0.18319
