#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.395025   -0.395025           0
           2   -0.415272   -0.405148  0.00715828
           3   -0.461398   -0.423898   0.0160357
           4   -0.456243   -0.431985   0.0139171
           5   -0.406198   -0.426827   0.0120514
           6   -0.391946   -0.421014   0.0113588
           7   -0.364353   -0.412919   0.0122862
           8   -0.311779   -0.400277   0.0159821
           9   -0.383739   -0.398439   0.0143116
          10   -0.418212   -0.400417   0.0130163
          11   -0.411352   -0.401411   0.0118709
          12   -0.384957    -0.40004   0.0109605
          13   -0.366828   -0.397485   0.0104109
          14   -0.358779    -0.39472   0.0100277
          15   -0.318756   -0.389656   0.0105608
          16   -0.364874   -0.388107   0.0100137
          17   -0.354288   -0.386118  0.00962024
          18   -0.411486   -0.387527  0.00918844
          19   -0.405763   -0.388487  0.00875482
          20   -0.392502   -0.388687  0.00831938
