#   N_BLOCK:  ACCEPTANCE:
           1    0.534558
           2    0.532918
           3    0.533801
           4    0.534257
           5    0.534132
           6    0.534062
           7     0.53407
           8    0.533863
           9    0.533893
          10    0.533924
          11    0.533978
          12    0.533886
          13    0.533725
          14    0.533721
          15    0.533703
          16    0.533743
          17    0.533696
          18    0.533571
          19    0.533724
          20     0.53363
