T              energy        energy_error                  cv            cv_error             suscept       suscept_error                magn          magn_error
0.5   -0.969913          0.00169676            0.351473           0.0132858             74.9561             1.57004             0.90008           0.0196189
0.6    -0.93347          0.00142472            0.409276          0.00748047             42.9349             1.05819            0.702967           0.0172478
0.7   -0.891375          0.00111968            0.430815          0.00540281              24.311             0.61186            0.457705           0.0137865
0.8   -0.847896         0.000738358            0.437842          0.00487902             15.1057            0.306009             0.28962           0.0107698
0.9   -0.804459         0.000619739            0.434312          0.00313298             10.1833            0.168293            0.199371          0.00916091
1   -0.761378         0.000530822            0.417809            0.002118             7.32477            0.101794            0.150269          0.00650995
1.1   -0.721568          0.00065438            0.397291          0.00165789             5.59337           0.0699413            0.113067          0.00474455
1.2   -0.682931         0.000496104            0.372677          0.00177279             4.41728           0.0363526           0.0918102          0.00409647
1.3    -0.64695         0.000506082            0.342414          0.00155537             3.60707           0.0254993            0.075282          0.00326033
1.4   -0.614007         0.000325754             0.31638          0.00106941             2.98312            0.020317           0.0608654           0.0027572
1.5   -0.582836         0.000344595            0.294539         0.000908074             2.52163           0.0144219            0.051377          0.00258501
1.6   -0.554602         0.000401449            0.271502          0.00101131             2.18429           0.0106295           0.0451626          0.00211978
1.7   -0.528346         0.000355971            0.250189          0.00112631             1.89811           0.0111855           0.0399646          0.00219223
1.8    -0.50454         0.000417218            0.230261          0.00119533             1.67821          0.00930061            0.035532          0.00199001
1.9     -0.4823         0.000398062            0.213457         0.000960135             1.49373           0.0073289           0.0316472          0.00187195
2   -0.461814         0.000345231            0.197827         0.000771897             1.34476           0.0054667           0.0281558          0.00179065
