T              energy        energy_error                  cv            cv_error             suscept       suscept_error                magn          magn_error
0.5           -0.973476          0.00116024             0.33066          0.00991687             78.4497             1.07369            0.879324           0.0145034
0.6           -0.934346          0.00122125            0.423526          0.00479843             43.9135            0.899444            0.646009            0.025679
0.7           -0.892416           0.0010549            0.432096          0.00426649             24.4237            0.536321            0.462114           0.0131346
0.8           -0.849264         0.000705191            0.448585          0.00316978             15.4948             0.16959            0.284249           0.0112663
0.9           -0.804754         0.000459072            0.438455          0.00352304             10.3649            0.128573            0.198942          0.00790211
1           -0.762002         0.000461792            0.419438          0.00237623             7.48755           0.0718225             0.14191          0.00472327
1.1           -0.720732         0.000403429            0.396495          0.00138432             5.60668           0.0388005            0.112025          0.00323758
1.2           -0.682755         0.000353203            0.366688          0.00172353             4.41631           0.0379904           0.0838008          0.00290056
1.3           -0.646482         0.000323165            0.344661          0.00102917             3.55099           0.0264389           0.0704744          0.00178445
1.4           -0.612791         0.000354004            0.315825          0.00118036             2.93211           0.0152496           0.0585472          0.00218069
1.5           -0.583048         0.000348123             0.29352          0.00103383             2.53031           0.0196939           0.0495026          0.00199988
1.6           -0.554394         0.000408019            0.270114         0.000969473             2.18686           0.0116076           0.0435182          0.00191643
1.7            -0.52805         0.000425562            0.247585         0.000816202             1.88315          0.00864338           0.0398412          0.00101083
1.8           -0.504562         0.000287987            0.229095         0.000582759             1.67901          0.00956992           0.0363196          0.00124021
1.9           -0.482601         0.000335238            0.212906         0.000819863             1.50669          0.00795551            0.029144          0.00146396
2           -0.462338         0.000384007            0.197732         0.000806953             1.35353          0.00852541           0.0279454          0.00139755
