T              energy        energy_error                  cv            cv_error             suscept       suscept_error                magn          magn_error
0.5           -0.970568          0.00170656              0.3447           0.0127142             75.5443             1.74561            0.896696           0.0211147
0.6           -0.933834          0.00179508            0.404355          0.00777286             43.1216             1.30091             0.69668           0.0211145
0.7           -0.891391          0.00125944            0.428146          0.00594009              24.241            0.630654            0.455263           0.0133896
0.8           -0.847608         0.000790578            0.436946          0.00548073             14.9638            0.309466            0.286371            0.011522
0.9           -0.804315         0.000617472            0.433845          0.00301064             10.1475            0.175321            0.196106          0.00782684
1           -0.761218         0.000534483            0.417546          0.00206466             7.28943           0.0845926            0.149351          0.00634626
1.1            -0.72145         0.000660366            0.397048          0.00202971              5.5763           0.0711427            0.113031          0.00497446
1.2           -0.682963         0.000506065            0.372958          0.00164295             4.41671           0.0459194           0.0915878          0.00403979
1.3           -0.647002         0.000468944            0.342987          0.00161874             3.60442            0.029061           0.0746916          0.00332553
1.4           -0.614103         0.000334954            0.316676          0.00152409             2.98254           0.0206966           0.0603082          0.00302723
1.5            -0.58295         0.000326692            0.294604          0.00116588             2.52478           0.0190736           0.0507124          0.00266956
1.6           -0.554628         0.000332476            0.271507          0.00128165              2.1853           0.0140161           0.0445474          0.00227078
1.7           -0.528371         0.000353149            0.250271           0.0012248             1.89701          0.00841388           0.0394528          0.00215115
1.8           -0.504578         0.000328518            0.230288          0.00117583             1.67642          0.00678814           0.0350436          0.00191022
1.9           -0.482276          0.00035975             0.21335         0.000934166             1.49245          0.00663393           0.0313054            0.001951
2           -0.461814          0.00031463            0.197835         0.000740692             1.34393          0.00514123           0.0278694          0.00179458
