#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     2.72274     2.72274           0
           2     2.26727       2.495    0.161032
           3     2.11048     2.36683    0.149925
           4     2.12417     2.30616    0.124112
           5     2.03781     2.25249    0.110285
           6     2.01428     2.21279   0.0987925
           7      1.9901     2.18098    0.089655
           8     2.00925     2.15951    0.080977
           9     2.00422     2.14226   0.0737949
          10     1.98562     2.12659   0.0680576
          11     2.03216     2.11801   0.0624096
          12     2.01348      2.1093   0.0578135
          13     1.97075     2.09864   0.0543398
          14     1.94734     2.08783   0.0515219
          15     1.95447     2.07894   0.0488482
          16      2.0036     2.07423   0.0460216
          17     2.01027     2.07047    0.043468
          18     1.95532     2.06407   0.0415212
          19     1.99214     2.06029   0.0395081
          20     1.98983     2.05677   0.0376894
