#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1      0.0232      0.0232           0
           2    0.025204    0.024202 0.000708521
           3     0.01652   0.0216413  0.00214347
           4    0.037292    0.025554  0.00375048
           5     0.01688   0.0238192  0.00337786
           6    0.019576    0.023112  0.00288796
           7    0.029712   0.0240549   0.0026248
           8    0.030384    0.024846  0.00241299
           9    0.040964   0.0266369  0.00272973
          10    0.031124   0.0270856  0.00249336
          11     0.03634   0.0279269  0.00240444
          12    0.030716   0.0281593  0.00221528
          13    0.031384   0.0284074  0.00205871
          14    0.024624   0.0281371  0.00192932
          15     0.02628   0.0280133  0.00180466
          16    0.028748   0.0280593  0.00169246
          17     0.03184   0.0282816  0.00160745
          18    0.029844   0.0283684  0.00152049
          19     0.02416   0.0281469   0.0014565
          20    0.024116   0.0279454  0.00139755
