#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.208109    0.208109           0
           2    0.195811     0.20196  0.00434809
           3    0.204368    0.202762  0.00297189
           4    0.196389    0.201169   0.0026215
           5    0.199456    0.200826  0.00211946
           6    0.197064    0.200199  0.00185665
           7    0.192828    0.199146  0.00186631
           8    0.196775     0.19885   0.0016564
           9    0.196533    0.198592  0.00149223
          10    0.196164     0.19835  0.00136262
          11    0.197391    0.198262  0.00124153
          12    0.193252    0.197845  0.00120624
          13    0.197336    0.197806  0.00111408
          14    0.196536    0.197715  0.00103819
          15    0.202948    0.198064  0.00102592
          16    0.199303    0.198141 0.000964718
          17    0.197943     0.19813 0.000908041
          18     0.19704    0.198069  0.00085961
          19    0.195227     0.19792 0.000827284
          20    0.194164    0.197732 0.000806953
