#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.37634     1.37634           0
           2     1.41365     1.39499   0.0131918
           3     1.35916     1.38305   0.0131312
           4     1.27448     1.35591   0.0254849
           5     1.34419     1.35356   0.0204954
           6     1.35919      1.3545   0.0171009
           7     1.37041     1.35678   0.0148082
           8      1.3503     1.35597   0.0129793
           9     1.37378     1.35794    0.011687
          10     1.31648      1.3538   0.0112297
          11     1.34744     1.35322   0.0102237
          12     1.28795     1.34778   0.0107215
          13     1.33027     1.34643  0.00998098
          14     1.41916     1.35163   0.0105333
          15     1.41111     1.35559   0.0105512
          16     1.33835     1.35452  0.00994667
          17     1.38194     1.35613  0.00949148
          18     1.35302     1.35596  0.00896574
          19     1.30031     1.35303  0.00895944
          20     1.36303     1.35353  0.00852541
