#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.461472   -0.461472           0
           2   -0.464208    -0.46284 0.000967322
           3   -0.460144   -0.461941 0.000976869
           4   -0.459056    -0.46122 0.000962819
           5   -0.460968    -0.46117 0.000771573
           6   -0.462824   -0.461445 0.000690491
           7   -0.462464   -0.461591  0.00060699
           8   -0.463504    -0.46183 0.000576303
           9   -0.461944   -0.461843 0.000512409
          10   -0.463344   -0.461993 0.000482661
          11   -0.460272   -0.461836 0.000463442
          12   -0.461872   -0.461839 0.000424831
          13   -0.465488    -0.46212 0.000475917
          14   -0.464304   -0.462276 0.000466791
          15   -0.464664   -0.462435 0.000462022
          16   -0.461808   -0.462396 0.000434806
          17   -0.463312    -0.46245 0.000412554
          18   -0.462992    -0.46248 0.000390732
          19   -0.459344   -0.462315 0.000403525
          20   -0.462776   -0.462338 0.000384007
