#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.760656   -0.760656           0
           2   -0.766448   -0.763552  0.00204778
           3    -0.76084   -0.762648  0.00155195
           4   -0.757288   -0.761308  0.00164363
           5   -0.759784   -0.761003  0.00134287
           6    -0.76224   -0.761209  0.00113477
           7   -0.763528   -0.761541  0.00101985
           8   -0.763912   -0.761837  0.00093446
           9   -0.763792   -0.762054 0.000855506
          10    -0.76044   -0.761893 0.000785037
          11   -0.763072      -0.762 0.000720952
          12    -0.75868   -0.761723 0.000711982
          13   -0.763784   -0.761882 0.000674629
          14   -0.763456   -0.761994 0.000635742
          15   -0.758256   -0.761745 0.000640347
          16   -0.760584   -0.761673 0.000604423
          17   -0.760032   -0.761576 0.000576521
          18   -0.759304    -0.76145 0.000558139
          19   -0.763056   -0.761534 0.000535127
          20     -0.7584   -0.761378 0.000530822
