#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.761304   -0.761304           0
           2   -0.761704   -0.761504 0.000141421
           3   -0.765352   -0.762787  0.00105153
           4   -0.756768   -0.761282  0.00152315
           5    -0.76196   -0.761418  0.00122454
           6   -0.761968   -0.761509  0.00102388
           7   -0.763904   -0.761851 0.000933012
           8   -0.763336   -0.762037 0.000834636
           9   -0.762736   -0.762115 0.000745504
          10    -0.76644   -0.762547 0.000786483
          11       -0.76   -0.762316 0.000748298
          12   -0.766448    -0.76266 0.000761063
          13   -0.760056    -0.76246 0.000728403
          14   -0.762944   -0.762494 0.000677195
          15   -0.757408   -0.762155 0.000711899
          16   -0.760352   -0.762043 0.000676267
          17   -0.759672   -0.761903 0.000650704
          18   -0.760264   -0.761812 0.000620892
          19   -0.762152    -0.76183 0.000588471
          20   -0.763608   -0.761919 0.000565724
