# DISTANCE:     AVE_GOFR:        ERROR:
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913  0.00204939           0
    0.910562   0.0246773           0
    0.936212    0.153365           0
    0.961861    0.546712           0
    0.987511     1.14655           0
     1.01316     1.82294           0
     1.03881     2.27526           0
     1.06446     2.47355           0
     1.09011     2.48603           0
     1.11576     2.34585           0
     1.14141     2.15375           0
     1.16706     1.91801           0
     1.19271     1.71613           0
     1.21836     1.53043           0
     1.24401     1.36702           0
     1.26966      1.2224           0
     1.29531     1.11693           0
     1.32096     1.01012           0
     1.34661     0.93467           0
     1.37226    0.850924           0
     1.39791    0.815681           0
     1.42355    0.772887           0
      1.4492    0.735608           0
     1.47485    0.702123           0
      1.5005    0.684482           0
     1.52615    0.673212           0
      1.5518    0.661192           0
     1.57745    0.659133           0
      1.6031    0.663526           0
     1.62875    0.673107           0
      1.6544    0.679102           0
     1.68005    0.700341           0
      1.7057    0.729514           0
     1.73135    0.763479           0
       1.757    0.801511           0
     1.78265    0.837252           0
      1.8083    0.883365           0
     1.83395    0.930212           0
      1.8596    0.968094           0
     1.88525     1.00464           0
      1.9109     1.04485           0
     1.93655     1.06943           0
      1.9622     1.11444           0
     1.98785     1.13347           0
      2.0135     1.16163           0
     2.03915     1.18085           0
      2.0648     1.19747           0
     2.09045     1.19497           0
      2.1161     1.18861           0
     2.14174     1.18113           0
     2.16739     1.16211           0
     2.19304     1.14104           0
     2.21869     1.11648           0
     2.24434     1.09732           0
     2.26999     1.06092           0
     2.29564     1.03354           0
     2.32129     1.01364           0
     2.34694     0.99263           0
     2.37259    0.961137           0
     2.39824    0.941506           0
     2.42389    0.929652           0
     2.44954    0.908561           0
     2.47519    0.902495           0
     2.50084    0.888438           0
     2.52649    0.873844           0
     2.55214    0.877157           0
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263 2.36055e-05 1.66916e-05
    0.884913  0.00155932 0.000346533
    0.910562   0.0241088 0.000401993
    0.936212    0.158248  0.00345322
    0.961861      0.5435  0.00227166
    0.987511      1.1621    0.010999
     1.01316     1.81994  0.00212255
     1.03881     2.27375  0.00106753
     1.06446     2.48254  0.00635543
     1.09011     2.48068  0.00378824
     1.11576     2.34368  0.00153491
     1.14141     2.14509  0.00612711
     1.16706     1.92179  0.00267191
     1.19271     1.71743 0.000925937
     1.21836     1.52844  0.00140701
     1.24401     1.36761 0.000417911
     1.26966     1.22801  0.00396731
     1.29531     1.11205  0.00344974
     1.32096     1.00362  0.00459572
     1.34661    0.932348   0.0016418
     1.37226    0.857091  0.00436087
     1.39791    0.809267  0.00453544
     1.42355     0.77582  0.00207362
      1.4492     0.73796  0.00166297
     1.47485    0.704037  0.00135373
      1.5005    0.684584 7.20637e-05
     1.52615    0.674721  0.00106667
      1.5518    0.666781   0.0039516
     1.57745    0.665757  0.00468356
      1.6031    0.667383  0.00272747
     1.62875    0.674893  0.00126256
      1.6544    0.685071  0.00422012
     1.68005    0.706305  0.00421724
      1.7057    0.735702    0.004376
     1.73135    0.766684  0.00226601
       1.757    0.799723  0.00126455
     1.78265    0.832479  0.00337493
      1.8083    0.878076  0.00373989
     1.83395    0.914825   0.0108804
      1.8596    0.955666   0.0087883
     1.88525    0.993292  0.00802381
      1.9109     1.03693  0.00559859
     1.93655     1.06661  0.00199782
      1.9622     1.10648  0.00563049
     1.98785     1.13587  0.00170003
      2.0135     1.16185 0.000154596
     2.03915     1.18101 0.000111559
      2.0648     1.19489  0.00182937
     2.09045     1.19838  0.00241352
      2.1161     1.19229  0.00260501
     2.14174     1.18148 0.000251601
     2.16739     1.16763   0.0038994
     2.19304      1.1451  0.00286737
     2.21869     1.12196  0.00387005
     2.24434     1.09986  0.00179162
     2.26999     1.06588  0.00350805
     2.29564      1.0405  0.00492423
     2.32129     1.01444 0.000561588
     2.34694    0.997318  0.00331491
     2.37259    0.970896  0.00690077
     2.39824    0.946019  0.00319064
     2.42389      0.9283 0.000955749
     2.44954    0.913518  0.00350507
     2.47519     0.90116 0.000943405
     2.50084    0.888277 0.000114527
     2.52649    0.877431  0.00253588
     2.55214    0.874876  0.00161321
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263  1.5737e-05 1.28492e-05
    0.884913  0.00139596 0.000266761
    0.910562   0.0242421 0.000289269
    0.936212    0.159344  0.00247005
    0.961861    0.547834  0.00384906
    0.987511     1.16878  0.00913877
     1.01316     1.83034  0.00861168
     1.03881     2.27596  0.00194214
     1.06446     2.48754  0.00588189
     1.09011     2.48751  0.00612429
     1.11576     2.33554  0.00672279
     1.14141     2.14241   0.0046346
     1.16706      1.9237  0.00236909
     1.19271     1.71156  0.00483407
     1.21836     1.52205  0.00530576
     1.24401     1.36156  0.00494484
     1.26966     1.22245  0.00525377
     1.29531     1.10308  0.00768238
     1.32096     1.00179  0.00340876
     1.34661    0.930097  0.00213889
     1.37226    0.857887  0.00297891
     1.39791    0.806305  0.00387184
     1.42355    0.771588  0.00372171
      1.4492    0.735816  0.00207252
     1.47485    0.702296  0.00168409
      1.5005    0.687869  0.00268242
     1.52615    0.675365 0.000884563
      1.5518    0.666038  0.00270338
     1.57745    0.666549  0.00318876
      1.6031    0.667101  0.00183282
     1.62875    0.678095   0.0027469
      1.6544    0.691267  0.00578895
     1.68005    0.713242  0.00632359
      1.7057     0.73766  0.00332647
     1.73135    0.768468  0.00209871
       1.757    0.801144  0.00143451
     1.78265    0.830955  0.00257117
      1.8083    0.876573  0.00277896
     1.83395    0.915318  0.00726476
      1.8596    0.955596  0.00585915
     1.88525    0.995171  0.00556482
      1.9109     1.03688  0.00373266
     1.93655     1.06701  0.00137257
      1.9622      1.1078  0.00390589
     1.98785     1.13688  0.00139911
      2.0135     1.16159 0.000235576
     2.03915     1.18321  0.00179685
      2.0648     1.19701  0.00211831
     2.09045     1.19942  0.00181638
      2.1161     1.19538  0.00306103
     2.14174     1.18354  0.00169043
     2.16739     1.16678  0.00268982
     2.19304     1.14247  0.00287696
     2.21869     1.11729  0.00460244
     2.24434     1.09461  0.00444954
     2.26999     1.05931   0.0058512
     2.29564     1.03712  0.00428949
     2.32129     1.01114  0.00271754
     2.34694      0.9905  0.00598958
     2.37259    0.967542  0.00535391
     2.39824    0.942859  0.00334357
     2.42389    0.928307 0.000637192
     2.44954    0.913342  0.00234111
     2.47519    0.904022  0.00241974
     2.50084    0.889143 0.000711728
     2.52649    0.877707  0.00170561
     2.55214       0.879  0.00353511
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263 1.18028e-05 1.02215e-05
    0.884913  0.00130315 0.000215614
    0.910562   0.0240982 0.000250189
    0.936212    0.158298  0.00206234
    0.961861    0.542923  0.00513971
    0.987511     1.16519  0.00752775
     1.01316     1.82443  0.00824067
     1.03881     2.27237  0.00343571
     1.06446     2.48812  0.00443993
     1.09011     2.48714  0.00460432
     1.11576     2.34604   0.0103967
     1.14141     2.14845  0.00628326
     1.16706     1.93132  0.00683204
     1.19271     1.71741  0.00622801
     1.21836      1.5257  0.00508413
     1.24401       1.366   0.0053376
     1.26966       1.225  0.00452032
     1.29531     1.09904  0.00673743
     1.32096     1.00621  0.00460212
     1.34661    0.928428  0.00215949
     1.37226    0.857494  0.00225997
     1.39791    0.801495  0.00507772
     1.42355    0.770363   0.0029858
      1.4492    0.730754  0.00465121
     1.47485    0.700768  0.00182919
      1.5005    0.686042  0.00255925
     1.52615    0.671533  0.00338417
      1.5518    0.664441    0.002454
     1.57745    0.664716  0.00287035
      1.6031     0.66631  0.00153573
     1.62875    0.675955  0.00277096
      1.6544    0.689046  0.00474863
     1.68005    0.710267  0.00539721
      1.7057    0.734404  0.00376464
     1.73135    0.765111  0.00330607
       1.757    0.797846  0.00305263
     1.78265    0.832499  0.00234643
      1.8083    0.875589  0.00225182
     1.83395     0.91867   0.0061738
      1.8596    0.955346  0.00439969
     1.88525    0.998624  0.00513462
      1.9109     1.04005  0.00391926
     1.93655     1.07443  0.00650183
      1.9622     1.11145  0.00431015
     1.98785     1.14024  0.00309661
      2.0135     1.16512  0.00306043
     2.03915     1.18493  0.00200586
      2.0648     1.20147  0.00417553
     2.09045     1.20191  0.00254961
      2.1161     1.19833  0.00343466
     2.14174     1.18354  0.00126782
     2.16739     1.16497  0.00255436
     2.19304     1.14031  0.00285241
     2.21869     1.11676  0.00348194
     2.24434     1.08893   0.0059455
     2.26999     1.05841  0.00445687
     2.29564     1.03569   0.0034466
     2.32129     1.00899  0.00275821
     2.34694     0.98741  0.00522878
     2.37259    0.965496  0.00438906
     2.39824    0.942557  0.00252134
     2.42389    0.927772 0.000665444
     2.44954    0.912585  0.00187425
     2.47519     0.90248   0.0022532
     2.50084     0.88762  0.00142291
     2.52649    0.877116  0.00137787
     2.55214    0.879187   0.0026563
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
