# DISTANCE:     AVE_GOFR:        ERROR:
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913  0.00066828           0
    0.910562   0.0240456           0
    0.936212    0.189722           0
    0.961861    0.560734           0
    0.987511     1.19768           0
     1.01316     1.84269           0
     1.03881     2.26744           0
     1.06446     2.49468           0
     1.09011     2.49911           0
     1.11576      2.3406           0
     1.14141     2.12942           0
     1.16706     1.95051           0
     1.19271     1.74906           0
     1.21836     1.48187           0
     1.24401     1.36881           0
     1.26966      1.2332           0
     1.29531      1.1095           0
     1.32096     0.99797           0
     1.34661    0.938459           0
     1.37226    0.845852           0
     1.39791    0.769582           0
     1.42355    0.731501           0
      1.4492     0.67342           0
     1.47485    0.691772           0
      1.5005    0.670136           0
     1.52615    0.640435           0
      1.5518    0.652406           0
     1.57745    0.674751           0
      1.6031    0.686504           0
     1.62875    0.681582           0
      1.6544    0.663937           0
     1.68005    0.707808           0
      1.7057    0.771813           0
     1.73135    0.754992           0
       1.757    0.797636           0
     1.78265    0.859251           0
      1.8083    0.881785           0
     1.83395    0.928654           0
      1.8596    0.975591           0
     1.88525    0.997264           0
      1.9109     1.02241           0
     1.93655      1.0899           0
      1.9622     1.10673           0
     1.98785     1.14891           0
      2.0135     1.17001           0
     2.03915     1.25583           0
      2.0648     1.23246           0
     2.09045     1.21875           0
      2.1161      1.1922           0
     2.14174     1.17705           0
     2.16739     1.16708           0
     2.19304     1.15759           0
     2.21869     1.09006           0
     2.24434      1.0687           0
     2.26999      1.0566           0
     2.29564     1.03311           0
     2.32129      1.0117           0
     2.34694     0.97264           0
     2.37259    0.935264           0
     2.39824    0.903784           0
     2.42389    0.885843           0
     2.44954    0.893039           0
     2.47519    0.869674           0
     2.50084    0.869895           0
     2.52649    0.866711           0
     2.55214       0.885           0
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913 0.000579176  6.3006e-05
    0.910562    0.027962  0.00276928
    0.936212    0.183942  0.00408748
    0.961861    0.574038  0.00940737
    0.987511     1.21169  0.00990799
     1.01316     1.83788   0.0034009
     1.03881     2.25031   0.0121102
     1.06446     2.49538 0.000492245
     1.09011     2.51734   0.0128884
     1.11576     2.34424  0.00257148
     1.14141      2.1105   0.0133786
     1.16706     1.88946   0.0431701
     1.19271     1.69467   0.0384613
     1.21836     1.48092 0.000670007
     1.24401     1.36199  0.00482205
     1.26966     1.21051   0.0160468
     1.29531     1.11732    0.005527
     1.32096     1.00105  0.00217654
     1.34661    0.931338  0.00503532
     1.37226    0.860938   0.0106673
     1.39791    0.778603  0.00637897
     1.42355    0.747347    0.011205
      1.4492    0.721834   0.0342335
     1.47485    0.715751   0.0169561
      1.5005    0.686262   0.0114027
     1.52615    0.656171   0.0111276
      1.5518     0.65212 0.000202247
     1.57745     0.68315  0.00593854
      1.6031    0.677992  0.00601891
     1.62875    0.689903  0.00588412
      1.6544    0.694016   0.0212696
     1.68005    0.725093    0.012222
      1.7057    0.760025  0.00833504
     1.73135    0.751062   0.0027793
       1.757    0.801511  0.00273986
     1.78265    0.842966   0.0115149
      1.8083    0.864001   0.0125747
     1.83395    0.907344    0.015068
      1.8596    0.965344  0.00724573
     1.88525     1.02672   0.0208295
      1.9109     1.04838   0.0183635
     1.93655     1.09437  0.00316042
      1.9622     1.10582  0.00064116
     1.98785     1.14643  0.00175395
      2.0135     1.16591  0.00289712
     2.03915     1.20319   0.0372244
      2.0648      1.1979   0.0244407
     2.09045     1.20562    0.009281
      2.1161     1.18813  0.00287671
     2.14174      1.1783 0.000880602
     2.16739     1.16601 0.000761184
     2.19304     1.14014   0.0123357
     2.21869     1.09498  0.00347743
     2.24434     1.08751   0.0132964
     2.26999     1.05286  0.00264322
     2.29564     1.03316 3.57346e-05
     2.32129     1.00566  0.00427133
     2.34694    0.989863    0.012179
     2.37259    0.957436   0.0156779
     2.39824    0.919507   0.0111181
     2.42389    0.898204  0.00874072
     2.44954    0.890347  0.00190329
     2.47519    0.873618   0.0027892
     2.50084     0.88458   0.0103837
     2.52649    0.874488  0.00549901
     2.55214    0.889585  0.00324185
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913  0.00115835 0.000474757
    0.910562   0.0252949  0.00285492
    0.936212    0.176859  0.00639298
    0.961861    0.571556  0.00659085
    0.987511     1.18526   0.0225661
     1.01316     1.81981   0.0149251
     1.03881     2.25996     0.01128
     1.06446     2.48223   0.0107456
     1.09011     2.51478  0.00884154
     1.11576     2.36607   0.0179057
     1.14141     2.15268   0.0355758
     1.16706     1.90918   0.0329791
     1.19271     1.71166   0.0291546
     1.21836      1.4933   0.0101125
     1.24401     1.35005   0.0102724
     1.26966     1.21412   0.0110972
     1.29531      1.0996   0.0149306
     1.32096    0.992527  0.00710716
     1.34661    0.918245   0.0112046
     1.37226    0.854424  0.00888014
     1.39791    0.783547  0.00586327
     1.42355    0.741926  0.00868297
      1.4492    0.722685   0.0228329
     1.47485    0.713674   0.0114305
      1.5005    0.689364  0.00801259
     1.52615      0.6579  0.00755144
      1.5518    0.657897  0.00471854
     1.57745    0.680875  0.00437283
      1.6031    0.680701  0.00458186
     1.62875    0.687303  0.00446056
      1.6544     0.68653    0.015441
     1.68005    0.711463   0.0137929
      1.7057    0.751913  0.00864539
     1.73135     0.75751  0.00558175
       1.757    0.810369  0.00745934
     1.78265    0.842369  0.00769212
      1.8083    0.872466    0.010865
     1.83395    0.918308   0.0134552
      1.8596    0.971696  0.00708728
     1.88525     1.01787   0.0156535
      1.9109     1.04658   0.0123302
     1.93655     1.09001   0.0041384
      1.9622     1.11573  0.00810249
     1.98785      1.1434  0.00273028
      2.0135     1.16359   0.0027047
     2.03915     1.19499   0.0257038
      2.0648     1.19197   0.0169982
     2.09045     1.20857   0.0066402
      2.1161     1.19859  0.00875262
     2.14174     1.18429  0.00492559
     2.16739      1.1683  0.00194352
     2.19304     1.13772  0.00845746
     2.21869     1.10448  0.00809133
     2.24434     1.07569   0.0131023
     2.26999      1.0456  0.00617984
     2.29564     1.02265  0.00857995
     2.32129     1.00439  0.00303198
     2.34694    0.984202   0.0093431
     2.37259    0.956562   0.0104763
     2.39824    0.928451   0.0104048
     2.42389    0.904506   0.0077736
     2.44954    0.890453  0.00127179
     2.47519    0.874048  0.00189221
     2.50084    0.882765  0.00707931
     2.52649     0.88007  0.00584954
     2.55214    0.889883  0.00217492
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913  0.00108039 0.000362413
    0.910562   0.0269724  0.00258747
    0.936212    0.171494  0.00667677
    0.961861    0.578196  0.00758261
    0.987511     1.18674   0.0169731
     1.01316      1.8267   0.0126838
     1.03881     2.26817   0.0110503
     1.06446     2.48092  0.00813861
     1.09011     2.52145  0.00879057
     1.11576     2.34487   0.0227434
     1.14141     2.13792   0.0295843
     1.16706     1.89966   0.0260727
     1.19271     1.70968    0.021933
     1.21836       1.505   0.0126608
     1.24401     1.35239  0.00796748
     1.26966     1.22848   0.0149638
     1.29531     1.10114   0.0112768
     1.32096    0.998318   0.0073189
     1.34661    0.922949  0.00933869
     1.37226    0.860554   0.0085169
     1.39791    0.786262  0.00498674
     1.42355     0.74793  0.00833355
      1.4492    0.721271   0.0171684
     1.47485     0.70871  0.00959062
      1.5005    0.677987   0.0115404
     1.52615    0.655523  0.00602593
      1.5518    0.653903  0.00494883
     1.57745    0.675014  0.00604355
      1.6031    0.681884  0.00358577
     1.62875     0.68884  0.00360079
      1.6544    0.682225   0.0121661
     1.68005    0.711188   0.0103474
      1.7057    0.748374  0.00717194
     1.73135    0.757784  0.00419301
       1.757    0.803426  0.00821308
     1.78265     0.84586  0.00651328
      1.8083    0.874173  0.00828174
     1.83395    0.922832   0.0108251
      1.8596    0.978605  0.00800343
     1.88525     1.01549   0.0119199
      1.9109       1.044  0.00951447
     1.93655     1.08512  0.00524775
      1.9622     1.12177  0.00801868
     1.98785      1.1418  0.00247711
      2.0135     1.15926  0.00426978
     2.03915     1.18589   0.0208259
      2.0648     1.19289    0.012774
     2.09045     1.20906  0.00499832
      2.1161     1.19917  0.00658333
     2.14174     1.18543   0.0038252
     2.16739     1.17042  0.00234525
     2.19304     1.14001  0.00664466
     2.21869     1.11728   0.0126375
     2.24434      1.0814   0.0110008
     2.26999     1.05078  0.00645059
     2.29564     1.02621  0.00713519
     2.32129     1.00953  0.00500054
     2.34694     0.98468  0.00701958
     2.37259    0.956945   0.0078642
     2.39824    0.932334  0.00849737
     2.42389    0.903488  0.00589642
     2.44954    0.888563   0.0018942
     2.47519    0.875953  0.00217654
     2.50084    0.877652  0.00691347
     2.52649    0.874226  0.00669814
     2.55214    0.882315  0.00675431
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
