#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -7.27429    -7.27429           0
           2    -7.27179    -7.27304 0.000883163
           3    -7.25479    -7.26696  0.00500219
           4    -7.28675    -7.27191  0.00569528
           5    -7.27004    -7.27153  0.00456849
           6    -7.26221    -7.26998  0.00406287
           7    -7.26994    -7.26997  0.00348246
           8    -7.25377    -7.26795  0.00358787
           9     -7.2748    -7.26871  0.00326905
          10    -7.28041    -7.26988  0.00314451
          11    -7.26548    -7.26948  0.00288401
          12    -7.25227    -7.26805  0.00297898
          13    -7.26252    -7.26762  0.00278004
          14    -7.28487    -7.26885  0.00284129
          15    -7.27779    -7.26945  0.00271365
          16    -7.26557    -7.26921  0.00255484
          17    -7.29046    -7.27046  0.00269319
          18    -7.28246    -7.27112  0.00262482
          19    -7.27634     -7.2714  0.00250099
          20    -7.25891    -7.27077  0.00245268
