#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -7.24482    -7.24482           0
           2    -7.22054    -7.23268  0.00858272
           3     -7.2755    -7.24695   0.0129825
           4    -7.24121    -7.24552   0.0098161
           5    -7.23927    -7.24427  0.00793201
           6    -7.20929    -7.23844  0.00848608
           7    -7.26599    -7.24237  0.00813571
           8    -7.23195    -7.24107  0.00722235
           9    -7.25974    -7.24315  0.00671108
          10    -7.23459    -7.24229  0.00609428
          11    -7.24845    -7.24285  0.00556597
          12    -7.26522    -7.24471  0.00540535
          13    -7.25249    -7.24531   0.0050225
          14    -7.23304    -7.24444  0.00473964
          15    -7.23971    -7.24412   0.0044341
          16     -7.2549    -7.24479  0.00420784
          17    -7.24333    -7.24471  0.00396119
          18    -7.24478    -7.24471  0.00374113
          19    -7.23908    -7.24442  0.00355595
          20    -7.24776    -7.24458  0.00338207
