#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    -2.42264    -2.42264           0
           2    -2.39129    -2.40696   0.0110865
           3    -2.31347     -2.3758   0.0264985
           4    -2.45035    -2.39444   0.0256034
           5    -2.41032    -2.39761   0.0206789
           6    -2.35192       -2.39    0.018582
           7    -2.35145    -2.38449   0.0167234
           8     -2.2703    -2.37022   0.0198089
           9    -2.41561    -2.37526   0.0182387
          10    -2.44083    -2.38182   0.0175539
          11     -2.3603    -2.37986   0.0160667
          12    -2.26935    -2.37065   0.0171655
          13     -2.3434    -2.36856   0.0159725
          14    -2.45033     -2.3744   0.0158637
          15    -2.38614    -2.37518   0.0148254
          16    -2.31661    -2.37152   0.0143436
          17    -2.50085    -2.37913   0.0153856
          18     -2.4811    -2.38479   0.0155389
          19    -2.39288    -2.38522   0.0147269
          20    -2.32995    -2.38246   0.0142475
