#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    -1.34948    -1.34948           0
           2     -1.3252    -1.33734  0.00858399
           3    -1.49552    -1.39006   0.0434305
           4    -1.34571    -1.37898    0.033959
           5    -1.34301    -1.37178   0.0279187
           6    -1.27592     -1.3558   0.0274596
           7    -1.46015    -1.37071   0.0272846
           8    -1.34071    -1.36696   0.0241303
           9     -1.3656    -1.36681   0.0214496
          10    -1.29099    -1.35923    0.020601
          11    -1.33605    -1.35712   0.0188357
          12    -1.40935    -1.36147   0.0177619
          13    -1.35729    -1.36115   0.0163985
          14    -1.30434    -1.35709   0.0157213
          15    -1.31142    -1.35405   0.0149652
          16    -1.36883    -1.35497   0.0140583
          17    -1.27085    -1.35002   0.0140754
          18    -1.31178     -1.3479   0.0134528
          19    -1.32021    -1.34644   0.0128234
          20    -1.36853    -1.34755   0.0122297
